Contract ZIP Code;Firm ID;Department ID;Category ID;Person ID;Contract Start Date;Contract End Date;Company Start Date;Birth Date;Contract Terminatio Reason;Gender;Nationality;Contract Type
5600;0000019904;00;1;0000010270;01/07/2014;15/10/2017;01/07/2014;03/01/1978;Préavis travailleur;Femme;Belge;Durée indéterminée
6600;0000048568;00;3;0000001263;29/09/1986;28/10/2017;29/09/1986;24/04/1965;Rupture de contrat;Femme;Belge;Durée indéterminée
6500;0000019904;00;1;0000000259;01/04/2013;10/06/2016;18/05/2008;03/02/1979;Préavis employeur;Femme;Belge;Durée indéterminée
4570;0000048568;00;3;0000001794;03/08/1987;30/11/2017;03/08/1987;04/01/1966;Rupture de contrat;Femme;Belge;Durée indéterminée
6060;0000019904;00;1;0000000535;03/07/2013;;03/07/2013;22/02/1975;;Femme;Belge;Durée indéterminée
3721;0000048568;00;3;0000016883;25/10/1999;;21/05/1979;28/04/1960;;Femme;Belge;Durée indéterminée
4801;0000048568;00;3;0000000905;01/10/1985;;01/10/1985;03/11/1966;;Femme;Belge;Durée indéterminée
6280;0000019904;00;1;0000010187;01/07/2014;23/07/2017;01/07/2014;23/10/1989;Préavis travailleur;Femme;Belge;Durée indéterminée
3404;0000048568;02;3;0000015846;01/04/1999;30/11/2017;22/07/1987;26/09/1969;Rupture de contrat;Femme;Belge;Durée indéterminée
9990;0000043838;00;1;0000000678;01/09/2012;;01/06/2012;02/09/1972;;Femme;Belge;Durée indéterminée
6280;0000019904;00;1;0000011484;25/12/2017;;25/09/2017;06/10/1993;;Femme;Belge;Durée indéterminée
8800;0000048568;00;3;0000033414;17/08/2011;;16/05/2010;08/12/1989;;Femme;Belge;Durée indéterminée
8800;0000063115;00;1;0000000604;09/04/2012;;07/11/2011;24/11/1974;;Femme;Belge;Durée indéterminée
8800;0000048568;00;3;0000020428;21/02/2002;01/10/2016;05/09/2000;18/04/1962;Préavis travailleur;Femme;Belge;Durée indéterminée
9300;0000043838;00;1;0000000899;02/06/2014;11/01/2016;02/06/2014;30/09/1989;Préavis employeur;Homme;Belge;Durée indéterminée
3980;0000043838;00;1;0000000980;05/01/2015;10/01/2016;05/01/2015;31/07/1972;De commun accord;Homme;Belge;Durée indéterminée
